ID_Prod,Ano,Temporada,Parcela,Cultivo,Nom.Cob,Rot,Lab,Ras,Cob,Grid
NI_295,2016,1.Primera,Testigo,Maiz,no,Si,Si,No,No,2225
NI_295,2017,2.Postrera,Testigo,Frijol,no,Si,Si,No,No,2225
NI_295,2017,1.Primera,Testigo,Maiz,no,Si,Si,No,No,2225
NI_295,2018,2.Postrera,Testigo,Frijol,no,Si,Si,No,No,2225
NI_295,2018,1.Primera,Testigo,Maiz,no,Si,Si,No,No,2225
NI_307,2016,2.Postrera,ASA,Frijol,maíz-frijol-canavalia,Si,Si,Si,Si,2225
NI_307,2016,1.Primera,ASA,Maiz,maíz-frijol-canavalia,Si,Si,Si,Si,2225
NI_307,2017,2.Postrera,ASA,Frijol,maíz-frijol-canavalia,Si,Si,Si,Si,2225
NI_307,2017,1.Primera,ASA,Maiz,maíz-frijol-canavalia,Si,Si,Si,Si,2225
NI_307,2018,2.Postrera,ASA,Sorgo,maíz-frijol-canavalia,Si,Si,Si,Si,2225
NI_307,2018,1.Primera,ASA,Maiz,maíz-frijol-canavalia,Si,Si,Si,Si,2225
NI_307,2019,2.Postrera,ASA,None,maíz-frijol-canavalia,Si,Si,Si,Si,2225
NI_307,2019,1.Primera,ASA,Maiz,maíz-frijol-canavalia,Si,Si,Si,Si,2225
NI_307,2016,2.Postrera,Testigo,Frijol,no,Si,Si,No,No,2225
NI_307,2016,1.Primera,Testigo,Maiz,no,Si,Si,No,No,2225
NI_307,2017,2.Postrera,Testigo,Frijol,no,Si,Si,No,No,2225
NI_307,2017,1.Primera,Testigo,Maiz,no,Si,Si,No,No,2225
NI_307,2018,2.Postrera,Testigo,Sorgo,no,Si,Si,No,No,2225
NI_307,2018,1.Primera,Testigo,Maiz,no,Si,Si,No,No,2225
NI_307,2019,2.Postrera,Testigo,None,no,Si,Si,No,No,2225
NI_307,2019,1.Primera,Testigo,Maiz,no,Si,Si,No,No,2225
NI_313,2016,2.Postrera,ASA,Sorgo,maíz-frijol-canavalia,Si,Si,Si,Si,2225
NI_313,2016,1.Primera,ASA,Maiz,maíz-frijol-canavalia,Si,Si,Si,Si,2225
NI_313,2017,2.Postrera,ASA,Frijol,maíz-frijol-canavalia,Si,Si,Si,Si,2225
NI_313,2017,1.Primera,ASA,Maiz,maíz-frijol-canavalia,Si,Si,Si,Si,2225
NI_313,2018,1.Primera,ASA,Maiz,maíz-frijol-canavalia,Si,Si,Si,Si,2225
NI_313,2019,1.Primera,ASA,Maiz,maíz-frijol-canavalia,Si,Si,Si,Si,2225
NI_313,2019,2.Postrera,ASA,Sorgo,maíz-frijol-canavalia,Si,Si,Si,Si,2225
NI_313,2016,2.Postrera,Testigo,Sorgo,no,Si,Si,No,No,2225
NI_313,2016,1.Primera,Testigo,Maiz,no,Si,Si,No,No,2225
NI_313,2017,2.Postrera,Testigo,Frijol,no,Si,Si,No,No,2225
NI_313,2017,1.Primera,Testigo,Maiz,no,Si,Si,No,No,2225
NI_313,2018,1.Primera,Testigo,Maiz,no,Si,Si,No,No,2225
NI_313,2019,1.Primera,Testigo,Maiz,no,Si,Si,No,No,2225
NI_313,2019,2.Postrera,Testigo,Sorgo,no,Si,Si,No,No,2225
NI_385,2016,2.Postrera,ASA,Frijol,maíz-frijol-canavalia,Si,Si,Si,Si,2225
NI_385,2016,1.Primera,ASA,Maiz,maíz-frijol-canavalia,Si,Si,Si,Si,2225
NI_385,2017,2.Postrera,ASA,Frijol,maíz-frijol-canavalia,Si,Si,Si,Si,2225
NI_385,2017,1.Primera,ASA,Maiz,maíz-frijol-canavalia,Si,Si,Si,Si,2225
NI_385,2018,2.Postrera,ASA,Frijol,maíz-frijol-canavalia,Si,Si,Si,Si,2225
NI_385,2018,1.Primera,ASA,Maiz,maíz-frijol-canavalia,Si,Si,Si,Si,2225
NI_385,2019,2.Postrera,ASA,Frijol,maíz-frijol-canavalia,Si,Si,Si,Si,2225
NI_385,2019,1.Primera,ASA,Maiz,maíz-frijol-canavalia,Si,Si,Si,Si,2225
NI_385,2016,2.Postrera,Testigo,Frijol,no,Si,Si,No,No,2225
