,FieldID,Date,ATdiff,YR
1621,NI_660,2017-05-10,21,2017
1622,NI_660,2017-05-20,-129,2017
1623,NI_660,2017-06-01,-231,2017
1624,NI_660,2017-06-10,-281,2017
1625,NI_660,2017-06-20,-236,2017
1626,NI_660,2017-07-01,-138,2017
1627,NI_660,2017-07-10,-4,2017
1628,NI_660,2017-07-20,61,2017
1629,NI_660,2017-08-01,22,2017
1630,NI_660,2017-08-10,-2,2017
1631,NI_660,2017-08-20,1,2017
1632,NI_660,2017-09-01,12,2017
1633,NI_660,2017-09-10,20,2017
1634,NI_660,2017-09-20,20,2017
1635,NI_660,2017-10-01,25,2017
1636,NI_660,2017-10-10,26,2017
1637,NI_660,2017-10-20,27,2017
1638,NI_660,2017-11-01,27,2017
1639,NI_660,2017-11-10,16,2017
1640,NI_660,2017-11-20,-10,2017
1641,NI_660,2017-12-01,-64,2017
1642,NI_660,2017-12-10,-134,2017
1643,NI_660,2017-12-20,-180,2017
1644,NI_660,2018-01-01,-193,2017
1645,NI_660,2018-01-10,-175,2017
1646,NI_660,2018-01-20,-106,2017
1647,NI_660,2018-02-01,51,2017
1648,NI_660,2018-02-10,168,2017
1649,NI_660,2018-02-20,180,2017
1650,NI_660,2018-03-01,170,2017
1651,NI_660,2018-03-10,6,2017
1652,NI_660,2018-03-20,1,2017
1653,NI_660,2018-04-01,187,2017
1654,NI_660,2018-04-10,340,2017
1655,NI_660,2018-04-20,405,2017
1656,NI_660,2018-05-01,424,2018
1657,NI_660,2018-05-10,352,2018
1658,NI_660,2018-05-20,131,2018
1659,NI_660,2018-06-01,-44,2018
1660,NI_660,2018-06-10,-64,2018
1661,NI_660,2018-06-20,-104,2018
1662,NI_660,2018-07-01,-75,2018
1663,NI_660,2018-07-10,-27,2018
1664,NI_660,2018-07-20,-3,2018
1665,NI_660,2018-08-01,-21,2018
1666,NI_660,2018-08-10,-40,2018
1667,NI_660,2018-08-20,-29,2018
1668,NI_660,2018-09-01,-38,2018
1669,NI_660,2018-09-10,-20,2018
1670,NI_660,2018-09-20,10,2018
1671,NI_660,2018-10-01,34,2018
1672,NI_660,2018-10-10,40,2018
1673,NI_660,2018-10-20,20,2018
1674,NI_660,2018-11-01,-15,2018
1675,NI_660,2018-11-10,-52,2018
1676,NI_660,2018-11-20,-42,2018
1677,NI_660,2018-12-01,-52,2018
1678,NI_660,2018-12-10,-69,2018
1679,NI_660,2018-12-20,-58,2018
1680,NI_660,2019-01-01,-35,2018
1681,NI_660,2019-01-10,-60,2018
1682,NI_660,2019-01-20,-160,2018
1683,NI_660,2019-02-01,-305,2018
1684,NI_660,2019-02-10,71,2018
1685,NI_660,2019-02-20,390,2018
1686,NI_660,2019-03-01,342,2018
1687,NI_660,2019-03-10,67,2018
1688,NI_660,2019-03-20,-370,2018
1689,NI_660,2019-04-01,-429,2018
1690,NI_660,2019-04-10,-590,2018
1691,NI_660,2019-04-20,-756,2018
1692,NI_660,2019-05-01,-1169,2019
1693,NI_660,2019-05-10,-956,2019
1694,NI_660,2019-05-20,-786,2019
1695,NI_660,2019-06-01,-232,2019
1696,NI_660,2019-06-10,302,2019
1697,NI_660,2019-06-20,410,2019
1698,NI_660,2019-07-01,599,2019
1699,NI_660,2019-07-10,768,2019
1700,NI_660,2019-07-20,766,2019
1701,NI_660,2019-08-01,679,2019
1702,NI_660,2019-08-10,400,2019
